,open time,close,Success/Fail,Earning Rate (%)
End,2020-07-01 13:00:00,10914000.0,Failed,-1.04
Start,2020-07-01 13:00:00,10914000.0
End,2020-07-05 09:00:00,10890000.0,Failed,-0.27
Start,2020-07-05 09:00:00,10890000.0
End,2020-07-06 13:00:00,10942000.0,Failed,0.43
Start,2020-07-06 13:00:00,10942000.0
End,2020-07-12 09:00:00,10996000.0,Failed,0.43999999999999995
Start,2020-07-12 09:00:00,10996000.0
End,2020-07-13 17:00:00,11019000.0,Failed,0.15999999999999998
Start,2020-07-13 17:00:00,11019000.0
End,2020-07-19 01:00:00,10919000.0,Failed,-0.9600000000000001
Start,2020-07-19 01:00:00,10919000.0
End,2020-07-21 05:00:00,10950000.0,Failed,0.22999999999999998
Start,2020-07-21 05:00:00,10950000.0
End,2020-08-05 01:00:00,13364000.0,Failed,22.0
Start,2020-08-05 01:00:00,13364000.0
End,2020-08-10 05:00:00,13820000.0,Failed,3.36
Start,2020-08-10 05:00:00,13820000.0
End,2020-08-14 05:00:00,13810000.0,Failed,-0.12000000000000001
Start,2020-08-14 05:00:00,13810000.0
End,2020-08-17 21:00:00,14332000.0,Failed,3.73
Start,2020-08-17 21:00:00,14332000.0
End,2020-08-21 21:00:00,13906000.0,Failed,-3.02
Start,2020-08-21 21:00:00,13906000.0
End,2020-08-24 13:00:00,13844000.0,Failed,-0.49999999999999994
Start,2020-08-24 13:00:00,13844000.0
End,2020-08-30 09:00:00,13625000.0,Failed,-1.6300000000000001
Start,2020-08-30 09:00:00,13625000.0
End,2020-09-09 17:00:00,12178000.0,Failed,-10.67
Start,2020-09-09 17:00:00,12178000.0
End,2020-09-10 21:00:00,12386000.0,Failed,1.66
Start,2020-09-10 21:00:00,12386000.0
End,2020-09-14 21:00:00,12673000.0,Failed,2.2699999999999996
Start,2020-09-14 21:00:00,12673000.0
End,2020-09-19 21:00:00,12949000.0,Failed,2.13
Start,2020-09-19 21:00:00,12949000.0
End,2020-09-25 01:00:00,12381000.0,Failed,-4.44
Start,2020-09-25 01:00:00,12381000.0
End,2020-09-27 17:00:00,12388000.0,Failed,0.009999999999999993
Start,2020-09-27 17:00:00,12388000.0
End,2020-09-28 09:00:00,12670000.0,Failed,2.23
Start,2020-09-28 09:00:00,12670000.0
End,2020-10-05 01:00:00,12494000.0,Failed,-1.44
Start,2020-10-05 01:00:00,12494000.0
End,2020-10-08 21:00:00,12591000.0,Failed,0.7299999999999999
Start,2020-10-08 21:00:00,12591000.0
End,2020-10-16 05:00:00,13226000.0,Failed,4.99
Start,2020-10-16 05:00:00,13226000.0
End,2020-10-27 17:00:00,15070000.0,Failed,13.889999999999999
