,open time,close,Success/Fail,Earning Rate (%)
End,2021-07-23 13:00:00,38079000.0,Failed,-0.32
Start,2021-07-24 05:00:00,39108000.0
End,2021-07-25 17:00:00,40148000.0,Failed,2.61
Start,2021-07-26 05:00:00,41070000.0
End,2021-07-27 05:00:00,43001000.0,Failed,4.65
Start,2021-07-28 01:00:00,43752000.0
End,2021-07-28 21:00:00,45850000.0,Failed,4.75
Start,2021-07-31 01:00:00,46146000.0
End,2021-08-01 01:00:00,47918000.0,Failed,3.7899999999999996
Start,2021-08-01 09:00:00,49283000.0
End,2021-08-01 13:00:00,48260000.0,Failed,-2.13
Start,2021-08-04 05:00:00,44969000.0
End,2021-08-04 09:00:00,44666000.0,Failed,-0.72
Start,2021-08-04 21:00:00,45410000.0
End,2021-08-05 13:00:00,45148000.0,Failed,-0.63
Start,2021-08-06 01:00:00,46994000.0
End,2021-08-07 21:00:00,49963000.0,Failed,6.2700000000000005
Start,2021-08-08 05:00:00,50956000.0
End,2021-08-08 21:00:00,50781000.0,Failed,-0.38999999999999996
Start,2021-08-09 17:00:00,52693000.0
End,2021-08-10 17:00:00,52220000.0,Failed,-0.95
Start,2021-08-11 09:00:00,52653000.0
End,2021-08-11 17:00:00,52815000.0,Failed,0.26
Start,2021-08-11 21:00:00,53200000.0
End,2021-08-12 01:00:00,52848000.0,Failed,-0.7100000000000001
Start,2021-08-13 09:00:00,52767000.0
End,2021-08-14 17:00:00,54379000.0,Failed,3.0
Start,2021-08-16 05:00:00,54636000.0
End,2021-08-16 21:00:00,53987000.0,Failed,-1.2400000000000002
Start,2021-08-17 17:00:00,54382000.0
End,2021-08-17 21:00:00,53628000.0,Failed,-1.44
Start,2021-08-18 21:00:00,53539000.0
End,2021-08-19 05:00:00,52812000.0,Failed,-1.41
Start,2021-08-19 13:00:00,53022000.0
End,2021-08-19 17:00:00,52483000.0,Failed,-1.07
Start,2021-08-19 21:00:00,53879000.0
End,2021-08-21 13:00:00,57219000.0,Failed,6.15
Start,2021-08-22 01:00:00,57923000.0
End,2021-08-22 05:00:00,57553000.0,Failed,-0.69
Start,2021-08-23 05:00:00,57681000.0
End,2021-08-23 21:00:00,57768000.0,Failed,0.1
Start,2021-08-25 13:00:00,56635000.0
End,2021-08-25 17:00:00,55519000.0,Failed,-2.02
Start,2021-08-25 21:00:00,56765000.0
End,2021-08-26 09:00:00,56100000.0,Failed,-1.22
Start,2021-08-27 13:00:00,55720000.0
End,2021-08-28 17:00:00,57270000.0,Failed,2.73
Start,2021-08-29 05:00:00,57428000.0
End,2021-08-29 09:00:00,56884000.0,Failed,-1.0
Start,2021-08-29 21:00:00,57299000.0
End,2021-08-30 09:00:00,56532000.0,Failed,-1.3900000000000001
Start,2021-08-31 01:00:00,56991000.0
End,2021-08-31 05:00:00,55800000.0,Failed,-2.1399999999999997
First Seed Money,Last Seed Money,Total Earning Rate(%),Winning Rate(%)
1,1.1022169065704794,38.13999999999997,33.91812865497076
